# packages in environment at /home/znmeb/miniconda3/envs/r-reticulate:
#
# Name                    Version                   Build  Channel
r-base                    4.0.3                h727be45_7    conda-forge
r-base64enc               0.1_3           r40hcdcec82_1004    conda-forge
r-cli                     2.3.1             r40hc72bb7e_0    conda-forge
r-crayon                  1.4.1             r40hc72bb7e_0    conda-forge
r-data.table              1.14.0            r40h96a179c_0    conda-forge
r-digest                  0.6.27            r40h78e9c38_0    conda-forge
r-ellipsis                0.3.1             r40hcdcec82_0    conda-forge
r-evaluate                0.14              r40h6115d3f_2    conda-forge
r-fansi                   0.4.2             r40h96a179c_0    conda-forge
r-glue                    1.4.2             r40h96a179c_0    conda-forge
r-htmltools               0.5.1.1           r40hecdc70b_0    conda-forge
r-irdisplay               1.0               r40hd8ed1ab_0    conda-forge
r-irkernel                1.1.1             r40h6115d3f_0    conda-forge
r-jsonlite                1.7.2             r40h96a179c_0    conda-forge
r-lattice                 0.20_41           r40h96a179c_3    conda-forge
r-lifecycle               1.0.0             r40hc72bb7e_0    conda-forge
r-matrix                  1.3_2             r40hb5b0af1_0    conda-forge
r-pbdzmq                  0.3_5             r40h5fd1efb_1    conda-forge
r-pillar                  1.5.1             r40hc72bb7e_0    conda-forge
r-rappdirs                0.3.3             r40h96a179c_0    conda-forge
r-rcpp                    1.0.6             r40hecdc70b_0    conda-forge
r-renv                    0.13.1            r40hc72bb7e_0    conda-forge
r-repr                    1.1.3             r40h785f33e_0    conda-forge
r-reticulate              1.18              r40hecdc70b_0    conda-forge
r-rlang                   0.4.10            r40h96a179c_0    conda-forge
r-utf8                    1.2.1             r40h96a179c_0    conda-forge
r-uuid                    0.1_4             r40hcdcec82_1    conda-forge
r-vctrs                   0.3.6             r40h96a179c_0    conda-forge
r-zeallot                 0.1.0           r40h6115d3f_1002    conda-forge
readline                  8.1                  h1a49cc3_0    conda-forge
requests                  2.25.1             pyhd3deb0d_0    conda-forge
scipy                     1.6.1            py39h5c7b0d2_0    conda-forge
sed                       4.8                  ha0d5d3d_0    conda-forge
send2trash                1.5.0                      py_0    conda-forge
setuptools                49.6.0           py39ha65689a_3    conda-forge
six                       1.15.0             pyh9f0ad1d_0    conda-forge
sniffio                   1.2.0            py39ha65689a_1    conda-forge
snowballstemmer           2.1.0              pyhd8ed1ab_0    conda-forge
sphinx                    3.5.3              pyhd8ed1ab_0    conda-forge
sphinx_rtd_theme          0.5.1              pyhd3deb0d_0    conda-forge
sphinxcontrib-applehelp   1.0.2                      py_0    conda-forge
sphinxcontrib-devhelp     1.0.2                      py_0    conda-forge
sphinxcontrib-htmlhelp    1.0.3                      py_0    conda-forge
sphinxcontrib-jsmath      1.0.1                      py_0    conda-forge
sphinxcontrib-qthelp      1.0.3                      py_0    conda-forge
sphinxcontrib-serializinghtml 1.1.4                      py_0    conda-forge
sqlite                    3.34.0               h43e6a2a_0    conda-forge
sympy                     1.7.1            py39ha65689a_1    conda-forge
sysroot_linux-aarch64     2.17                h4744778_10    conda-forge
terminado                 0.9.3            py39ha65689a_0    conda-forge
testpath                  0.4.4                      py_0    conda-forge
tk                        8.6.10               ha99a2a3_1    conda-forge
tktable                   2.10                 hcd05d48_3    conda-forge
toml                      0.10.2             pyhd8ed1ab_0    conda-forge
tornado                   6.1              py39h14843e3_1    conda-forge
traitlets                 5.0.5                      py_0    conda-forge
tzdata                    2021a                he74cb21_0    conda-forge
urllib3                   1.26.4             pyhd8ed1ab_0    conda-forge
wcwidth                   0.2.5              pyh9f0ad1d_2    conda-forge
webencodings              0.5.1                      py_1    conda-forge
wheel                     0.36.2             pyhd3deb0d_0    conda-forge
xorg-kbproto              1.0.7             h3557bc0_1002    conda-forge
xorg-libice               1.0.10               h3557bc0_0    conda-forge
xorg-libsm                1.2.3             h965e137_1000    conda-forge
xorg-libx11               1.7.0                h3557bc0_0    conda-forge
xorg-libxau               1.0.9                h3557bc0_0    conda-forge
xorg-libxdmcp             1.1.3                h3557bc0_0    conda-forge
xorg-libxext              1.3.4                h3557bc0_1    conda-forge
xorg-libxrender           0.9.10            h3557bc0_1003    conda-forge
xorg-libxt                1.2.1                h3557bc0_2    conda-forge
xorg-renderproto          0.11.1            h3557bc0_1002    conda-forge
xorg-xextproto            7.3.0             h3557bc0_1002    conda-forge
xorg-xproto               7.0.31            h3557bc0_1007    conda-forge
xz                        5.2.5                h6dd45c4_1    conda-forge
zeromq                    4.3.4                h01db608_0    conda-forge
zipp                      3.4.1              pyhd8ed1ab_0    conda-forge
zlib                      1.2.11            h516909a_1009    conda-forge
zstd                      1.4.9                h41fb7a4_0    conda-forge
